Frame,Left Arm Angle,Right Arm Angle,Left Leg Angle,Right Leg Angle,CoM Velocity,Move Successful
0,83.8319824199425,129.85955708496894,174.90210392642575,159.9477451753609,0,No
1,91.76891030261905,138.35262497926064,174.1901390469689,161.4681292214707,1.2614215635092751,No
2,104.88753643040921,133.64390909137106,173.0668866002589,161.2250916112302,0.05724688006922001,No
3,109.99065205081537,138.66484663576895,173.1332676701338,160.91135355720812,0.17645308719496808,No
4,111.18765863233358,150.32849275068978,170.21068068077886,161.25184896167826,0.7934917474413035,No
5,106.96009747885232,148.3696602905579,171.46619408488797,162.2080124443008,0.40594242870519837,No
6,92.54011715585926,146.75947775607165,170.1672506457572,162.26313304372545,0.2835110673188775,No
7,84.54899209003504,146.44712185896077,170.1437204536327,163.23318439331993,0.7785254779079029,No
8,86.51587154740704,150.12952145034262,170.9689551228249,163.13217327897283,1.1852707350349858,No
9,73.08081017518336,145.9318396685477,170.65359316175912,162.00317759190915,0.5428504169755763,No
10,110.84135651367934,151.67986603066188,169.78098501068217,159.8098468094468,3.0940497356199366,No
11,124.23509996017495,153.55266505621023,171.85632944278748,159.12764125239764,1.2528023507413273,No
12,140.3491789060297,156.64897482363276,171.39610890436504,157.84370387199996,0.3911576647399892,No
13,140.09608625995386,153.3815347217022,168.57142305482304,154.33702881405821,1.6051670223145218,No
14,139.59027439024615,163.18386816968476,170.75917032027508,155.04522253390505,0.2948166585721259,No
15,151.9697544361813,161.31488029265458,173.84494557258412,154.6367831918328,3.653199427730158,No
16,157.76724266771149,163.098927723709,169.1108438871408,150.71864130840027,2.4223630122679816,No
17,163.25209414554408,161.04830716800592,174.47602932096166,148.55391074595093,1.142795850059256,No
18,160.4973338733099,163.17011834996188,175.8727562223254,151.0614238448744,0.31662266044183607,No
19,160.614912415101,165.0551080613328,173.3757224305664,152.52292681795782,1.5825993877276436,No
20,157.45649450631265,165.15484958565384,171.44673375451725,152.98726200059167,0.39122490335571575,No
21,157.61185398756237,164.3635505304463,172.22222046968022,152.6579486324648,0.1470567888790491,No
22,156.04166910970673,162.49018161314805,170.25857593680993,151.41634173946758,0.28018487888383486,No
23,155.55261026813744,161.72539443268806,169.7126979680932,151.42761509673952,0.7291126463152202,No
24,155.00860511445336,161.6700937242552,166.53635444684792,150.80222672459178,0.21366433436565602,No
25,153.52694951536563,162.19805387633636,164.4808769041521,149.58036246541988,0.2968990941273459,No
26,152.95477177783917,162.72020075150323,165.35395785003968,149.65642901321576,0.19143637366019012,No
27,151.65810017319205,162.79020508907323,168.04588702508562,147.80979324885644,0.17081494261237312,No
28,150.96281688101485,161.78874801240391,168.95778132857572,145.14692047210508,0.838760643284402,No
29,150.87203637028398,161.67342244754684,173.94325098113902,148.27199022417952,0.12319151657711391,No
30,150.40554067425072,161.4664620394327,176.45962346889598,149.10534764731165,0.5926951343426244,No
31,150.04133325913548,162.00373409645155,176.9230832844264,150.3787738840208,0.3690582271508029,No
32,150.06076031181564,162.73487138755863,178.28992346573833,149.93811991349483,0.4265043158184548,No
33,150.6783271132241,161.90045746717897,176.04750313495603,153.8332095282995,0.12371723070329486,No
34,150.33032688565538,159.14817556832128,177.68643923885585,153.37071336638797,0.1393386702069032,No
35,150.47133672991433,160.22265746752706,178.07042617531482,154.01452835161385,0.14066720775696745,No
36,151.81742929827973,159.94564147250426,178.45982795870268,154.19212003205288,0.814491766307048,No
37,152.12980154240924,162.16980099620795,177.16715036966943,153.12793640468684,0.054519582417769004,No
38,152.2090761021148,161.6342409136401,177.48095782490958,150.7813813725274,0.6204530051389922,No
39,152.82316546642446,161.99365401403992,177.39858863101128,153.6423353625723,0.22881980784083705,No
40,152.25478513687597,162.65775868721673,177.6944271345004,153.18092884589805,0.18875308490243126,No
41,151.62813962596587,165.11663315670344,177.04062925943563,153.4280765374837,0.39752785003575775,No
42,150.25598114845252,167.55919333117674,176.46728421311593,153.4396800120529,0.7809748356707084,No
43,150.2268110307601,169.48304531425686,177.20209003928906,153.21197089529562,0.4162472680286565,No
44,149.99249770534084,169.59195953545355,177.50037265803326,151.65718208616707,0.5516585371628034,No
45,150.21652824345844,166.98703193385768,176.7567866580692,150.29122885599716,0.09178696998034398,No
46,150.72614390251238,168.04334322232884,177.29832619573446,150.55590191293257,0.19627264804719372,No
47,151.75993321354207,168.98704555439892,178.12128128055213,150.2425891056528,0.20217266987433952,No
48,151.88820752498958,166.99699299590458,178.74176473126295,149.04744878731628,0.31091408510650115,No
49,151.783856582913,164.69373054719577,178.28245927038282,147.23637543614592,0.14782574877946414,No
50,152.9389244442807,164.62454797321413,176.9439178319865,148.48532929052772,0.3131346715955912,No
51,152.58235465345942,164.8923328374918,175.3435590974491,149.15208654230264,0.38768322925803855,No
52,152.1061927618393,164.926531778798,173.8767544945413,149.25260694756926,0.3052559498259915,No
53,151.7118963682526,164.8803049812349,169.5547143502096,149.06707602699942,0.23509308719620423,No
54,151.17944803728182,166.24909379334545,167.77410680769836,151.95655343193437,0.1839820467434723,No
55,150.63338739031468,165.92433944355358,159.35002444257958,150.11250661962305,0.6410760796028016,No
56,150.09186839847985,163.53800337771375,151.04457090343962,145.6489658887802,0.2366663721113079,No
57,149.4746261358145,161.98284890475418,163.25456368452603,146.49735899494232,0.0843364872650949,No
58,150.63893419632973,158.51050996050947,171.26588979271912,149.55646808439667,0.47944647926006057,No
59,147.3392319597378,154.8140770581994,170.12040491272575,153.46136870490548,0.7832703129161178,No
60,147.61273764085823,149.35393342330286,166.3951515503633,151.87468092372583,0.37972837834287065,No
61,146.38921567220336,146.66438988194784,168.5459561478555,150.9760916114908,2.261021384168254,No
62,149.21202742241277,143.66945361932196,167.54358130073925,149.39595362786253,0.6364000826797849,No
63,155.98167703950782,147.66954517467732,163.24399820070093,151.89057276091248,0.8867698555362193,No
64,159.77061815872048,161.23352605819775,154.45221815301014,154.18927945888314,0.4233687185161199,No
65,159.91587539431438,160.4095107890948,161.48126828526952,162.23733227845065,0.17710229105757563,No
66,160.59319988649779,163.12016331449993,149.63617942873591,154.17449813554992,0.3366450861065093,No
67,162.09167955217907,162.80447604195285,139.86024732710788,105.70161045511551,0.8378691963439474,No
68,160.95109530120888,158.99293740697834,127.8103114527116,121.82556455839182,0.4961811477645155,No
69,159.94485841363507,166.67604282136045,141.50106600417584,126.69952283488428,1.0205340393288567,No
70,159.90645141038064,168.3890549026015,130.43183093097784,70.66480467853594,1.3726555773500302,No
71,157.9444052551903,162.28264352448875,68.72622059203118,44.701314901934126,0.5669322540943431,No
72,160.62076808559382,161.0926813366948,155.58210485525268,74.2715062792191,1.0685051652717192,No
73,155.57365268443468,163.90126297836827,168.4167659399559,115.88931594901457,0.7457117276136368,No
74,157.77066552526992,160.46894800643588,174.1686143716653,150.56491185277542,2.5405393542601127,No
75,162.47235663922905,158.70448367119533,176.92848414814574,140.35228113673912,1.2035974691725682,No
76,164.27619765217128,135.84543015866407,175.24430947847267,145.9114991262116,0.8204733538428429,No
